Date,Time,Temp,Feels Like
2024-10-23,22:10,30.3,34.6
2024-10-23,22:14,30.3,34.6
2024-10-23,22:20,29.2,32.4
2024-10-23,22:25,29.2,32.4
2024-10-23,22:30,29.2,32.4
2024-10-23,22:34,29.4,32.8
2024-10-23,22:40,29.4,32.8
2024-10-23,22:45,29.4,32.8
2024-10-23,22:50,29.1,32.2
2024-10-23,22:54,29.1,32.2
2024-10-23,22:59,29.1,32.2
2024-10-23,23:05,29.2,32.5
2024-10-23,23:10,29.2,32.5
2024-10-23,23:14,29.2,32.5
2024-10-23,23:19,28.3,30.9
2024-10-23,23:24,28.3,30.9
2024-10-23,23:30,28.3,30.9
2024-10-23,23:34,27.3,29.3
2024-10-23,23:39,27.3,29.3
2024-10-23,23:45,27.3,29.3
2024-10-23,23:49,27.3,29.3
2024-10-23,23:54,27.3,29.3
2024-10-23,00:00,27.3,29.5
2024-10-23,00:04,27.2,29.3
2024-10-23,00:09,27.2,29.3
2024-10-23,00:15,27.2,29.3
2024-10-23,00:19,27.4,29.6
2024-10-23,00:24,27.4,29.6
2024-10-23,00:30,27.4,29.6
2024-10-23,00:35,26.3,28.0
2024-10-23,00:39,26.3,28.0
2024-10-23,00:45,26.3,28.0
2024-10-23,00:49,28.0,30.7
2024-10-23,00:54,28.0,30.7
2024-10-23,00:59,28.0,30.7
